,,FID,sample_number,,photo,place_type,building_setting,surface_material,surface_type,line,subway_station_autofill,car_or_station,subway_station_surface,subway_car_surface,car_location,occupancy,taxi,airport,park_surface,bus_surface,light_type,traffic,number_of_air_vents,place_name,notes,audio,longitude,latitude,time,city
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,63,CDS16-BCN-106,21.06.2016,mdc_photo_mdc_67a460_1466513647795_1466513657096.jpg,sub_line,urban,Glass,Kiosk,,Hospital clinic,subway_station,,,,,,,,,,,,,,,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,68,CDS16-BCN-107,21.06.2016,mdc_photo_mdc_f4aece_1466513977230_1466514093485.jpg,sub_line,urban,Metal,Turnstile,,Hospital clinic,subway_station,,,,,,,,,,,,,,,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,70,CDS16-BCN-108,21.06.2016,mdc_photo_mdc_35069a_1466514533729_1466514543309.jpg,sub_line,urban,Air,Air,,Hospital clinic,subway_station,,,,,,,,,,,,,"Air, kiosks level",,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,74,CDS16-BCN-109,21.06.2016,mdc_photo_mdc_0a3b8a_1466514995511_1466515063493.jpg,sub_line,urban,Metal,Handrail,,Hospital clinic,subway_station,,,,,,,,,,,,,,,2.15028E+12,4.13884E+13,,Barcelona
,Sants Estacio/Hospital clinic,78,CDS16-BCN-110,21.06.2016,mdc_photo_mdc_3b8c2a_1466515089667_1466515207309.jpg,sub_line,urban,Rubber,Escalator,,Hospital clinic,subway_station,,,,,,,,,,,,,Escalator handrail,,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,79,CDS16-BCN-111,21.06.2016,no pic,sub_line,urban,Air,Air,,Hospital clinic,subway_station,,,,,,,,,,,,,"Air, platform level.",,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,80,CDS16-BCN-112,21.06.2016,mdc_photo_mdc_b6cd80_1466515856808_1466515966912.jpg,sub_line,urban,Air,Air,,Hospital clinic,subway_car,,Other,middle,,,,,,,,,,"Air, train between Hospital Clinic and Sants",,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,81,CDS16-BCN-113,21.06.2016,no pic,sub_line,urban,Air,Air,,Sants EstaciÃ³,subway_station,,,,,,,,,,,,,"Air, platform level",,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,82,CDS16-BCN-114,21.06.2016,mdc_photo_mdc_923410_1466516736317_1466516799719.jpg,sub_line,urban,Glass,Kiosk,,Sants EstaciÃ³,subway_station,,,,,,,,,,,,,,,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,83,CDS16-BCN-115,21.06.2016,no pic,sub_line,urban,Air,Air,,Sants EstaciÃ³,subway_station,,,,,,,,,,,,,"Air, kiosk level",,2.15028E+12,4.13884E+13,,Barcelona
