Sample_#,Date_Collected,Bus_Number,Bus_Line,Area,Material,Label
CSD16-FAI-0451,,,,Bench by entrance/exit (indoors),,Airport Bench by entrance/exit (indoors)_37_TSA_kan
CSD16-FAI-0452,,,,Kiosk (composite of 3),,Airport Bench by entrance/exit (indoors)_37_TSA_strep
CSD16-FAI-0453,,,,Kiosk (composite of 3),,Airport Bench by entrance/exit (indoors)_37_TSA_tet
CSD16-FAI-0454,,,,Kiosk (composite of 3),,Airport Kiosk (composite of 3)_37_TSA_none
CSD16-FAI-0455,,,,Jetway 2 floor (as soon as step out of plane),,Airport Kiosk (composite of 3)_37_TSA_kan
CSD16-FAI-0456,,,,Jetway 2 floor (as soon as step out of plane),,Airport Kiosk (composite of 3)_37_TSA_tet
CSD16-FAI-0457,,,,Jetway 2 floor (as soon as step out of plane),,Airport Jetway 2 floor (as soon as step out of plane)_28_TSA_none
CSD16-FAI-0458,,,,Jetway 2 floor (as soon as step out of plane),,Airport Jetway 2 floor (as soon as step out of plane)_28_TSA_kan
CSD16-FAI-0459,,,,Jetway 2 handrail,,Airport Jetway 2 floor (as soon as step out of plane)_28_TSA_strep
CSD16-FAI-0460,,,,Jetway 1 seats waiting area,,Airport Jetway 2 floor (as soon as step out of plane)_28_TSA_tet
CSD16-FAI-0461,,,,Jetway 1 floor (next to rubber floor area),,Airport Jetway 2 handrail_28_TSA_strep
CSD16-FAI-0462,,,,Jetway 1 floor (next to rubber floor area),,Airport Jetway 1 seats waiting area_28_TSA_kan
CSD16-FAI-0463,,,,Jetway 1 floor (as soon as step out of plane),,Airport Jetway 1 floor (next to rubber floor area)_28_TSA_none
CSD16-FAI-0464,,,,In front of Gate 1 carpet (by seating area),,Airport Jetway 1 floor (next to rubber floor area)_28_TSA_tet
CSD16-FAI-0465,,,,In front of Gate 1 carpet (by seating area),,Airport Jetway 1 floor (as soon as step out of plane)_28_TSA_none
CSD16-FAI-0466,,,,water fountain by gate 2,,Airport In front of Gate 1 carpet (by seating area)_28_TSA_none
CSD16-FAI-0467,,,,water fountain by gate 3,,Airport In front of Gate 1 carpet (by seating area)_28_TSA_kan
