,building_setting,car_location,car_or_station,city,humidity,light_type,line,place_type,subway_station_autofill,subway_station_surface,surface_material,temperature,temperature_type,traffic,weather
CDS16-BCN-023,urban,,subway_station,barcelona,,,,sub_line,Lesseps,,Metal,,,,Mattia Bosio
CDS16-BCN-024,urban,,subway_station,barcelona,,,,sub_line,Lesseps,,Metal,,,,Mattia Bosio
CDS16-BCN-025,urban,,subway_station,barcelona,,,,sub_line,Lesseps,,Rubber,,,,Mattia Bosio
CDS16-BCN-026,urban,,subway_station,barcelona,,,,sub_line,Lesseps,,Air,,,,Mattia Bosio
CDS16-BCN-027,urban,,subway_car,barcelona,,,,sub_line,Lesseps,,Metal,,,,Mattia Bosio
CDS16-BCN-028,urban,,subway_car,barcelona,,,,sub_line,Lesseps,,Plastic,,,,
CDS16-BCN-029,urban,,subway_car,barcelona,,,,sub_line,Lesseps,,Air,,,,Mattia Bosio
CDS16-BCN-043,urban,,subway_station,barcelona,,,,sub_line,Parc Nou,,Glass,,,,Jonas
CDS16-BCN-044,urban,,subway_station,barcelona,,,,sub_line,Catalunya,,Rubber,,,,Jonas
CDS16-BCN-045,urban,,subway_station,barcelona,,,,sub_line,Catalunya,,Metal,,,,Jonas
CDS16-BCN-046,urban,,subway_station,barcelona,,,,sub_line,Catalunya,,Metal,,,,Jonas
CDS16-BCN-047,urban,,subway_station,barcelona,,,,sub_line,Catalunya,,Air,,,,Jonas
CDS16-BCN-048,urban,,subway_car,barcelona,,,,sub_line,Catalunya,,Plastic,,,,Jonas
CDS16-BCN-049,urban,,Subway_car,barcelona,,,,sub_line,Catalunya,,Metal,,,,Jonas
CDS16-BCN-050,urban,,subway_car,barcelona,,,,sub_line,Catalunya,,Air,,,,Jonas
CDS16-BCN-053,urban,,Subway_station,barcelona,,,,sub_line,Parc Nou,,Glass,,,,Jonas
CDS16-BCN-054,urban,,Subway_station,barcelona,,,,sub_line,Parc Nou,,Rubber,,,,Jonas
CDS16-BCN-055,urban,,Subway_station,barcelona,,,,sub_line,Parc Nou,,Metal,,,,Jonas
CDS16-BCN-056,urban,,Subway_station,barcelona,,,,sub_line,Parc Nou,,Metal,,,,Jonas
CDS16-BCN-057,urban,,Subway_station,barcelona,,,,sub_line,Parc Nou,,Air,,,,Jonas
CDS16-BCN-058,urban,,Subway_car,barcelona,,,,sub_line,Parc Nou,,Plastic,,,,Jonas
CDS16-BCN-059,urban,,Subway_car,barcelona,,,,sub_line,Parc Nou,,Metal,,,,Jonas
CDS16-BCN-060,urban,,Subway_car,barcelona,,,,sub_line,Parc Nou,,Air,,,,Jonas
CDS16-BCN-064,urban,,subway_station,barcelona,,,,sub_line,Barceloneta,,Metal,,,,Hannah
CDS16-BCN-065,urban,,subway_station,barcelona,,,,sub_line,Barceloneta,,Metal,,,,Hannah
CDS16-BCN-066,urban,,subway_station,barcelona,,,,sub_line,Barceloneta,,Metal,,,,Hannah
CDS16-BCN-067,urban,,subway_station,barcelona,,,,sub_line,Barceloneta,,Glass,,,,Hannah
CDS16-BCN-068,urban,,subway_station,barcelona,,,,sub_line,Barceloneta,,Plastic,,,,Hannah
Csd-16-bcn-069,urban,,subway_station,barcelona,,,,bus_line,Barceloneta,,Metal,,,,Hannah
CDS16-BCN-070,urban,,subway_station,barcelona,,,,sub_line,Barceloneta,,Air,,,,Hannah
CDS16-BCN-071,urban,,subway_car,barcelona,,,,sub_line,Barceloneta,,Plastic,,,,Hannah
CDS16-BCN-072,urban,,subway_car,barcelona,,,,sub_line,Barceloneta,,Plastic,,,,Hannah
CDS16-BCN-085,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Glass,,,,ÌÅlvaro Aranguren
CDS16-BCN-086,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Glass,,,,ÌÅlvaro Aranguren
CDS16-BCN-087,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Glass,,,,ÌÅlvaro Aranguren
CDS16-BCN-88,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Glass,,,,ÌÅlvaro Aranguren
CDS16-BCN-089,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Metal,,,,ÌÅlvaro Aranguren
CDS16-BCN-090,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Metal,,,,ÌÅlvaro Aranguren
CDS16-BCN-091,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Metal,,,,ÌÅlvaro Aranguren
CDS16-BCN-092,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Metal,,,,ÌÅlvaro Aranguren
CDS16-BCN-093,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Metal,,,,ÌÅlvaro Aranguren
CDS16-BCN-094,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Metal,,,,ÌÅlvaro Aranguren
CDS16-BCN-095,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Metal,,,,ÌÅlvaro Aranguren
CDS16-BCN-096,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Metal,,,,ÌÅlvaro Aranguren
CDS16-BCN-097,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Air,,,,ÌÅlvaro Aranguren
CDS16-BCN-098,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Rubber,,,,ÌÅlvaro Aranguren
CDS16-BCN-099,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Rubber,,,,ÌÅlvaro Aranguren
CDS16-BCN-100,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Rubber,,,,ÌÅlvaro Aranguren
CDS16-BCN-101,urban,,subway_station,barcelona,,,,sub_line,Sagrera,,Rubber,,,,ÌÅlvaro Aranguren
CDS16-BCN-102,urban,,subway_car,barcelona,,,,sub_line,Sagrera,,Metal,,,,ÌÅlvaro Aranguren
CDS16-BCN-103,urban,,subway_car,barcelona,,,,sub_line,Sagrera,,Air,,,,ÌÅlvaro Aranguren
CDS16-BCN-104,urban,,subway_car,barcelona,,,,sub_line,Sagrera,,Plastic,,,,ÌÅlvaro Aranguren
CDS16-BCN-106,urban,,subway_station,barcelona,,,,sub_line,Hospital clinic,,Glass,,,,Andrea Tassinari & Aliaksei
CDS16-BCN-107,urban,,subway_station,barcelona,,,,sub_line,Hospital clinic,,Metal,,,,Andrea Tassinari & Aliaksei
